gender,age_group,edu_level,personal_income,avg_use_time_min,leisure_score,utility_score
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
여성,30~39,"2,3년제 전문대학",100만원 ~ 200만원,43.525,0.17788269112284727,9.801554825497348
여성,50~59,4년제이상 대학,소득없음,43.5075,2.5598519275,3.67479685325
남성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,42.080000000000005,13.92989015577207,0.0
남성,60이상,4년제이상 대학,200만원 ~ 300만원,36.5125,12.436602872981437,0.19482694729093897
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
여성,20~29,4년제이상 대학,400만원 ~ 500만원,40.9475,12.88956789928335,1.3930192751372257
남성,20~29,"2,3년제 전문대학",400만원 ~ 500만원,42.040000000000006,3.65395354775,5.17737459675
여성,30~39,고등학교,200만원 ~ 300만원,38.91,0.0,17.37043406114317
남성,30~39,4년제이상 대학,100만원 ~ 200만원,43.3975,1.1364947521587396,13.184683995456902
여성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,37.8975,2.4750000925,3.7469913585
여성,20~29,4년제이상 대학,200만원 ~ 300만원,40.9875,14.12010297171391,0.0
남성,20~29,고등학교,200만원 ~ 300만원,42.37,2.062048744,3.0233799602499998
남성,20~29,고등학교,200만원 ~ 300만원,42.37,2.062048744,3.0233799602499998
여성,30~39,"2,3년제 전문대학",100만원 ~ 200만원,43.525,0.0,19.23957549747957
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,0.0,13.49867317107763
여성,20~29,고등학교,300만원 ~ 400만원,41.35249999999999,12.533798420537806,0.0
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,1.6047546285,2.3957187745
여성,30~39,고등학교,200만원 ~ 300만원,38.91,6.006463688486537,0.0
여성,20~29,고등학교,300만원 ~ 400만원,41.35249999999999,0.0,8.403395547109685
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
여성,50~59,4년제이상 대학,300만원 ~ 400만원,36.345,14.04731808461717,0.0
여성,30~39,고등학교,300만원 ~ 400만원,38.375,0.0,12.438217552353937
남성,60이상,4년제이상 대학,소득없음,43.14,13.40716396159918,0.0
여성,60이상,4년제이상 대학,소득없음,42.6575,0.0,19.843143679844676
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,1.6126830402499999,2.43598813825
여성,30~39,4년제이상 대학,100만원 미만,39.135,15.679217574897805,5.013517530165343
남성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,37.1225,4.24524846,6.08138537125
남성,20~29,고등학교,400만원 ~ 500만원,42.33,0.0,19.104985098907157
여성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,38.432500000000005,17.254074905515736,1.4058711992372124
남성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,38.5675,15.458035779190297,0.05234429172938171
남성,50~59,고등학교,300만원 ~ 400만원,37.7275,2.46585513175,3.75242421275
남성,40~49,4년제이상 대학,300만원 ~ 400만원,37.769999999999996,1.8005429222499998,2.82301251
여성,50~59,4년제이상 대학,소득없음,43.5075,2.5598519275,3.67479685325
여성,20~29,고등학교,500만원 ~ 600만원,45.03999999999999,2.80130095439063,18.099006913586173
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,12.353941929686094,0.0
남성,30~39,고등학교,200만원 ~ 300만원,39.3925,7.680440547188968,0.0
남성,30~39,4년제이상 대학,500만원 ~ 600만원,41.644999999999996,5.4353020875,7.614398191499999
여성,30~39,고등학교,200만원 ~ 300만원,38.91,2.1640803917499998,3.1375671234999998
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,1.70678627625,2.50990593775
남성,30~39,고등학교,소득없음,46.02,0.0,19.32484855078905
여성,30~39,4년제이상 대학,600만원 ~ 700만원,36.9825,16.980595801,21.302304086000003
남성,40~49,고등학교,200만원 ~ 300만원,39.205,0.0,11.760301442770162
여성,20~29,고등학교,소득없음,48.51499999999999,15.49583436371396,0.0
여성,50~59,"2,3년제 전문대학",300만원 ~ 400만원,36.955,2.75316104375,4.105086759250001
남성,30~39,고등학교,100만원 ~ 200만원,44.2975,13.542008859677896,2.7543829831153666
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
남성,16~19,4년제이상 대학,200만원 ~ 300만원,41.75,15.916962443398306,4.580397095499927
남성,20~29,4년제이상 대학,500만원 ~ 600만원,44.6225,0.0,22.463364290029183
여성,16~19,"2,3년제 전문대학",100만원 ~ 200만원,46.782500000000006,17.899276075706638,8.270047316284268
여성,50~59,4년제이상 대학,300만원 ~ 400만원,36.345,9.272547158597636,0.0
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,0.0,12.831251317845691
여성,50~59,4년제이상 대학,200만원 ~ 300만원,36.88,0.0,11.833858982298608
여성,20~29,4년제이상 대학,500만원 ~ 600만원,44.14,15.00634815388854,1.6738219104119798
남성,20~29,"2,3년제 전문대학",400만원 ~ 500만원,42.040000000000006,0.0,18.452027162870362
남성,16~19,4년제이상 대학,300만원 ~ 400만원,41.215,3.4377663735,4.8527211435
남성,40~49,4년제이상 대학,700만원 이상,42.455,34.641019104499996,68.74457733325
남성,30~39,고등학교,300만원 ~ 400만원,38.8575,1.9998342985,3.00730444025
여성,40~49,4년제이상 대학,200만원 ~ 300만원,37.8225,0.0,6.5443068450052175
남성,40~49,4년제이상 대학,300만원 ~ 400만원,37.769999999999996,0.0,14.55294799981013
남성,60이상,4년제이상 대학,200만원 ~ 300만원,36.5125,3.6648945257500003,5.23132432225
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,38.085,2.2871402105,3.35996698675
여성,30~39,"2,3년제 전문대학",100만원 미만,39.745000000000005,2.197488669923465,20.9821681735739
남성,16~19,"2,3년제 전문대학",소득없음,48.987500000000004,4.40516512575,6.122553335500001
남성,40~49,"2,3년제 전문대학",600만원 ~ 700만원,37.8875,24.512134923444496,18.052003481371962
여성,50~59,4년제이상 대학,400만원 ~ 500만원,36.84,3.6416520945,5.1866204835000005
여성,50~59,고등학교,300만원 ~ 400만원,37.245000000000005,0.0,14.384957748230185
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,0.0,9.931667423770023
여성,16~19,고등학교,300만원 ~ 400만원,41.63249999999999,0.0,17.12298334724471
여성,50~59,4년제이상 대학,300만원 ~ 400만원,36.345,2.1728071095,3.25502571025
남성,30~39,대학원 이상,소득없음,64.70750000000001,28.399768970748713,12.359359994842364
여성,20~29,4년제이상 대학,소득없음,47.614999999999995,2.0859026825,2.889407717
여성,30~39,고등학교,200만원 ~ 300만원,38.91,2.1640803917499998,3.1375671234999998
남성,20~29,중졸이하,300만원 ~ 400만원,46.69,9.540957494249998,15.67419952475
남성,20~29,고등학교,200만원 ~ 300만원,42.37,0.0,11.27709420610448
여성,16~19,4년제이상 대학,소득없음,47.894999999999996,0.0,10.114744184815406
여성,16~19,4년제이상 대학,300만원 ~ 400만원,40.7325,1.8847146284981577,12.967208284765578
남성,50~59,4년제이상 대학,200만원 ~ 300만원,37.3625,12.77908851334358,0.0
남성,20~29,고등학교,200만원 ~ 300만원,42.37,2.062048744,3.0233799602499998
여성,30~39,4년제이상 대학,500만원 ~ 600만원,41.162499999999994,3.882383912063017,19.334993990423587
남성,40~49,고등학교,소득없음,45.8325,2.5747389985,3.814099955
남성,40~49,4년제이상 대학,300만원 ~ 400만원,37.769999999999996,11.838255178426966,0.0
여성,20~29,4년제이상 대학,200만원 ~ 300만원,40.9875,1.76900072175,2.52598145775
여성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,41.0625,2.27921179875,3.319697623
남성,20~29,"2,3년제 전문대학",100만원 ~ 200만원,46.98500000000001,4.5180847525,7.14692797175
남성,20~29,고등학교,200만원 ~ 300만원,42.37,0.0,11.930280594492118
여성,30~39,4년제이상 대학,100만원 ~ 200만원,42.915,4.039762466,6.411054086
남성,30~39,고등학교,소득없음,46.02,2.3868791165000003,3.42707558325
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,0.0,13.390395265459164
여성,30~39,고등학교,소득없음,45.5375,2.4809823525,3.50099338275
여성,20~29,중졸이하,400만원 ~ 500만원,46.7025,24.07545835856463,12.351542607741205
여성,30~39,고등학교,500만원 ~ 600만원,42.0625,18.520027146602004,2.565874336577929
남성,40~49,4년제이상 대학,300만원 ~ 400만원,37.769999999999996,1.8005429222499998,2.82301251
여성,16~19,4년제이상 대학,200만원 ~ 300만원,41.2675,18.842168767191982,1.0312981935661067
남성,60이상,중졸이하,300만원 ~ 400만원,41.7325,4.812472777934793,29.726842460888896
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,0.0,16.22801387353673
여성,20~29,4년제이상 대학,200만원 ~ 300만원,40.9875,0.0,13.28192019957237
남성,40~49,고등학교,100만원 미만,40.33,7.19483703775,10.710945710250002
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,0.0,13.775102932000918
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,41.545,10.199777138560354,2.1087055011944935
여성,20~29,4년제이상 대학,소득없음,47.614999999999995,0.18030698250457577,15.409940522350233
여성,30~39,4년제이상 대학,100만원 ~ 200만원,42.915,14.139618721168517,1.5682800224876647
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,1.8706857794999998,2.87935739375
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,1.8706857794999998,2.87935739375
남성,30~39,4년제이상 대학,소득없음,45.12,11.946894231653694,0.0
여성,30~39,고등학교,200만원 ~ 300만원,38.91,2.1640803917499998,3.1375671234999998
남성,20~29,4년제이상 대학,200만원 ~ 300만원,41.47,6.807184153424587,0.0
남성,40~49,고등학교,300만원 ~ 400만원,38.67,2.1876941805,3.394328812
여성,40~49,4년제이상 대학,400만원 ~ 500만원,37.7825,3.36349114325,4.82852508275
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,0.0,12.272936614763823
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,1.70678627625,2.50990593775
남성,20~29,고등학교,100만원 ~ 200만원,47.275,4.3248820765,6.86818322475
남성,40~49,4년제이상 대학,400만원 ~ 500만원,38.265,3.2693879072499996,4.7546072832499995
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,1.6126830402499999,2.43598813825
남성,50~59,4년제이상 대학,100만원 ~ 200만원,42.2675,0.0,17.490752431555364
여성,40~49,4년제이상 대학,400만원 ~ 500만원,37.7825,0.0,15.658027642938258
여성,40~49,4년제이상 대학,200만원 ~ 300만원,37.8225,8.440772621085102,0.0
여성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,37.8975,2.4750000925,3.7469913585
여성,30~39,고등학교,400만원 ~ 500만원,38.87,3.5627825195,5.012817012999999
여성,20~29,고등학교,200만원 ~ 300만원,41.887499999999996,2.1561519799999997,3.09729775975
남성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,38.38,2.3808968565,3.673073559
여성,40~49,4년제이상 대학,300만원 ~ 400만원,37.287499999999994,1.8946461582499998,2.8969303094999996
남성,30~39,4년제이상 대학,400만원 ~ 500만원,38.4525,3.08152802525,4.3675829114999996
여성,20~29,4년제이상 대학,400만원 ~ 500만원,40.9475,13.706725357243567,0.0
여성,50~59,4년제이상 대학,100만원 ~ 200만원,41.785000000000004,4.50578329925,7.156173858500001
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,14.220325289607654,0.0
남성,50~59,4년제이상 대학,200만원 ~ 300만원,37.3625,0.0,12.02557256597669
남성,40~49,고등학교,200만원 ~ 300만원,39.205,2.25783703775,3.45067369575
여성,60이상,4년제이상 대학,200만원 ~ 300만원,36.03,14.541422277136931,0.0
여성,40~49,4년제이상 대학,300만원 ~ 400만원,37.287499999999994,10.649946831742637,0.0
남성,20~29,중졸이하,300만원 ~ 400만원,46.69,5.392349716558961,28.110401547978455
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,1.8706857794999998,2.87935739375
여성,40~49,4년제이상 대학,200만원 ~ 300만원,37.8225,0.0,13.33134271858168
남성,30~39,4년제이상 대학,소득없음,45.12,1.99972785825,2.85575928125
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,2.0787038735,3.1811079107499998
남성,40~49,고등학교,300만원 ~ 400만원,38.67,2.1876941805,3.394328812
남성,60이상,4년제이상 대학,300만원 ~ 400만원,35.977500000000006,0.0,12.973424914477622
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
여성,30~39,4년제이상 대학,200만원 ~ 300만원,38.01,13.5352483859149,0.0
여성,20~29,4년제이상 대학,400만원 ~ 500만원,40.9475,15.177085108809646,0.7548569848703819
남성,50~59,"2,3년제 전문대학",소득없음,44.6,3.0461026257499997,4.45094010275
여성,20~29,고등학교,300만원 ~ 400만원,41.35249999999999,2.08600912275,3.040952876
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
남성,20~29,4년제이상 대학,100만원 ~ 200만원,46.375,0.0,20.108401091735693
여성,40~49,4년제이상 대학,100만원 ~ 200만원,42.7275,0.17538001239589374,14.50572799144361
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,38.085,2.2871402105,3.35996698675
여성,20~29,"2,3년제 전문대학",600만원 ~ 700만원,40.57000000000001,17.553021323499998,22.11209577125
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,9.696756260108918,0.0
여성,20~29,고등학교,200만원 ~ 300만원,41.887499999999996,2.1561519799999997,3.09729775975
여성,30~39,4년제이상 대학,400만원 ~ 500만원,37.97,3.17563126125,4.441500711
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,0.0,13.530186731562779
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,0.0,20.090919987862996
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,17.733431097820233,0.0
남성,30~39,고등학교,300만원 ~ 400만원,38.8575,0.0,10.515459858546414
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,0.0,14.931585327124042
남성,16~19,고등학교,소득없음,49.277499999999996,4.21196244975,5.8438085885
남성,50~59,고등학교,100만원 ~ 200만원,43.1675,0.6433837023348215,14.181989259281773
여성,40~49,중졸이하,소득없음,50.205,10.217893842,16.59518220275
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,38.085,0.0,12.7973575226966
남성,20~29,4년제이상 대학,소득없음,48.0975,7.79050754796991,0.0
여성,20~29,고등학교,100만원 미만,43.012499999999996,7.09315198,10.35756977425
여성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,38.432500000000005,2.5451429497499998,3.80333624225
남성,40~49,고등학교,300만원 ~ 400만원,38.67,0.0,11.737340927586429
남성,30~39,4년제이상 대학,400만원 ~ 500만원,38.4525,0.0,14.217933835792174
남성,60이상,4년제이상 대학,200만원 ~ 300만원,36.5125,3.6648945257500003,5.23132432225
남성,40~49,4년제이상 대학,300만원 ~ 400만원,37.769999999999996,7.5591782336682725,0.0
남성,60이상,"2,3년제 전문대학",100만원 ~ 200만원,42.0275,6.5080817925,9.92618863575
여성,20~29,고등학교,소득없음,48.51499999999999,0.0,14.067742903391922
여성,40~49,"2,3년제 전문대학",100만원 미만,39.557500000000005,7.48214294975,11.063608256750001
남성,40~49,고등학교,300만원 ~ 400만원,38.67,0.0,12.103392531274947
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
남성,40~49,고등학교,200만원 ~ 300만원,39.205,0.0,11.079748254761798
여성,16~19,4년제이상 대학,300만원 ~ 400만원,40.7325,3.5318696095,4.926638943
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,1.6047546285,2.3957187745
여성,20~29,고등학교,소득없음,48.51499999999999,14.561101248197676,0.0
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,1.70678627625,2.50990593775
남성,40~49,고등학교,소득없음,45.8325,12.545021001145567,0.0
남성,20~29,4년제이상 대학,200만원 ~ 300만원,41.47,0.0,19.67108617078867
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,1.6988578644999999,2.469636574
남성,40~49,"2,3년제 전문대학",400만원 ~ 500만원,38.875,11.151828438311496,0.0
남성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,38.38,2.3808968565,3.673073559
남성,30~39,고등학교,300만원 ~ 400만원,38.8575,1.9998342985,3.00730444025
여성,16~19,"2,3년제 전문대학",300만원 ~ 400만원,41.3425,18.19007118360235,3.683227896587329
여성,50~59,4년제이상 대학,400만원 ~ 500만원,36.84,0.0,17.162297493919592
남성,20~29,4년제이상 대학,400만원 ~ 500만원,41.43,0.0,12.619584564298352
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,0.0,10.35703193072651
남성,40~49,4년제이상 대학,소득없음,44.9325,2.1875877402499997,3.242783653
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,1.6988578644999999,2.469636574
여성,30~39,4년제이상 대학,200만원 ~ 300만원,38.01,0.0,13.615839017820637
여성,40~49,4년제이상 대학,400만원 ~ 500만원,37.7825,11.185356330729217,1.486479780474197
남성,20~29,4년제이상 대학,400만원 ~ 500만원,41.43,1.8693234306241568,11.331543345233161
여성,40~49,4년제이상 대학,400만원 ~ 500만원,37.7825,3.36349114325,4.82852508275
남성,20~29,4년제이상 대학,100만원 ~ 200만원,46.375,10.423349229541264,0.6657744860081216
여성,20~29,4년제이상 대학,소득없음,47.614999999999995,0.0,15.574100670994525
남성,20~29,고등학교,300만원 ~ 400만원,41.834999999999994,1.99190588675,2.9670350764999998
남성,50~59,고등학교,200만원 ~ 300만원,38.2625,0.0,18.57293604519598
여성,40~49,4년제이상 대학,100만원 ~ 200만원,42.7275,3.5551516645666146,19.908398412722462
여성,30~39,4년제이상 대학,100만원 미만,39.135,6.7139291335,9.826522836
여성,30~39,고등학교,200만원 ~ 300만원,38.91,11.127981026511591,0.13008172300196597
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
남성,30~39,4년제이상 대학,소득없음,45.12,1.99972785825,2.85575928125
여성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,41.0625,2.27921179875,3.319697623
여성,50~59,"2,3년제 전문대학",소득없음,44.1175,3.14020586175,4.52485790225
여성,30~39,4년제이상 대학,100만원 미만,39.135,6.7139291335,9.826522836
여성,50~59,4년제이상 대학,200만원 ~ 300만원,36.88,14.366632740811488,0.5335252174800154
여성,16~19,고등학교,500만원 ~ 600만원,45.31999999999999,7.741639915,10.67636529825
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,0.0,14.610203849282597
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,1.6988578644999999,2.469636574
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,16.990635675946457,0.0
여성,20~29,4년제이상 대학,400만원 ~ 500만원,40.9475,3.1677028495,4.40123134725
남성,20~29,고등학교,200만원 ~ 300만원,42.37,17.93232793176834,0.0
남성,16~19,고등학교,200만원 ~ 300만원,42.65,15.660227623260006,0.8710085550715494
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,13.371940959343558,0.0
남성,20~29,고등학교,100만원 ~ 200만원,47.275,4.3248820765,6.86818322475
여성,40~49,고등학교,400만원 ~ 500만원,38.6825,0.0,19.849350259567355
여성,60이상,4년제이상 대학,200만원 ~ 300만원,36.03,16.075199468383037,0.0
남성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,38.915000000000006,2.45103971375,3.72941844275
남성,40~49,4년제이상 대학,200만원 ~ 300만원,38.305,9.794902519465953,0.0
남성,50~59,4년제이상 대학,소득없음,43.989999999999995,2.4657486915,3.60087905375
여성,20~29,4년제이상 대학,200만원 ~ 300만원,40.9875,10.487758493314068,0.0
여성,50~59,4년제이상 대학,200만원 ~ 300만원,36.88,0.0,11.970714494551906
남성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,42.080000000000005,18.528844369353823,0.0
여성,20~29,고등학교,400만원 ~ 500만원,41.8475,15.573452928791037,1.5953497217466381
여성,20~29,4년제이상 대학,200만원 ~ 300만원,40.9875,0.0,8.325459355749393
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
여성,60이상,4년제이상 대학,200만원 ~ 300만원,36.03,0.0,13.057417822836793
여성,40~49,고등학교,300만원 ~ 400만원,38.1875,9.703367618032933,0.0
여성,40~49,4년제이상 대학,300만원 ~ 400만원,37.287499999999994,11.314469378489445,0.0
남성,50~59,4년제이상 대학,200만원 ~ 300만원,37.3625,13.002754462488697,0.0
남성,30~39,고등학교,100만원 ~ 200만원,44.2975,0.0,19.533100189727456
남성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,38.38,0.0,12.349588267224561
여성,30~39,4년제이상 대학,200만원 ~ 300만원,38.01,14.612279275287573,0.0
여성,50~59,4년제이상 대학,100만원 ~ 200만원,41.785000000000004,0.0,14.179171347725
남성,20~29,4년제이상 대학,100만원 ~ 200만원,46.375,3.93773081825,6.2968669227500005
여성,40~49,4년제이상 대학,600만원 ~ 700만원,36.795,29.895177304977597,15.140303304053145
여성,40~49,4년제이상 대학,100만원 미만,38.9475,6.9017890155,10.21354720775
여성,50~59,4년제이상 대학,200만원 ~ 300만원,36.88,2.24294996675,3.311370594
여성,40~49,4년제이상 대학,소득없음,44.449999999999996,11.973714941449376,0.0
남성,20~29,"2,3년제 전문대학",소득없음,48.7075,2.57215338075,3.6655509665
남성,30~39,4년제이상 대학,소득없음,45.12,15.626212964230202,0.0
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,38.085,11.71927759140863,0.0
