gender,age_group,edu_level,personal_income,ai_use_rate,avg_use_time_min,leisure_score,utility_score
남성,30~39,고등학교,200만원 ~ 300만원,12.875,39.3925,2.06997715575,3.063649324
여성,16~19,4년제이상 대학,300만원 ~ 400만원,14.825,40.7325,3.5318696095,4.926638943
남성,20~29,4년제이상 대학,소득없음,15.975,48.0975,1.9917994465000002,2.8154899175
남성,16~19,고등학교,400만원 ~ 500만원,11.8,42.61,5.29376261675,7.35563221875
여성,50~59,4년제이상 대학,400만원 ~ 500만원,11.55,36.84,3.6416520945,5.1866204835000005
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
남성,30~39,고등학교,소득없음,13.45,46.02,2.3868791165000003,3.42707558325
여성,60이상,4년제이상 대학,300만원 ~ 400만원,11.75,35.495000000000005,3.6888549045000003,5.2488972380000005
여성,20~29,고등학교,300만원 ~ 400만원,13.675,41.35249999999999,2.08600912275,3.040952876
여성,30~39,고등학교,300만원 ~ 400만원,13.325,38.375,2.0939375345,3.0812222397499998
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,60이상,고등학교,300만원 ~ 400만원,9.975,36.8775,3.98190292675,5.7462957405
남성,40~49,고등학교,소득없음,11.799999999999999,45.8325,2.5747389985,3.814099955
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
여성,30~39,4년제이상 대학,300만원 ~ 400만원,15.5,37.474999999999994,1.70678627625,2.50990593775
여성,30~39,4년제이상 대학,400만원 ~ 500만원,14.25,37.97,3.17563126125,4.441500711
남성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,12.125,38.915000000000006,2.45103971375,3.72941844275
여성,30~39,4년제이상 대학,400만원 ~ 500만원,14.25,37.97,3.17563126125,4.441500711
여성,60이상,4년제이상 대학,600만원 ~ 700만원,10.125,35.0025,18.962664429249998,24.041295386250003
남성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,12.125,38.915000000000006,2.45103971375,3.72941844275
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
여성,60이상,고등학교,300만원 ~ 400만원,9.575,36.394999999999996,4.07600616275,5.82021354
여성,40~49,중졸이하,400만원 ~ 500만원,10.4,43.5375,11.299694009,18.107005833000002
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
여성,50~59,4년제이상 대학,300만원 ~ 400만원,12.8,36.345,2.1728071095,3.25502571025
남성,30~39,4년제이상 대학,100만원 ~ 200만원,14.249999999999998,43.3975,3.9456592299999995,6.3371362865
남성,30~39,고등학교,100만원 ~ 200만원,12.075,44.2975,4.33281048825,6.9084525885
여성,30~39,4년제이상 대학,200만원 ~ 300만원,14.65,38.01,1.7769291335,2.5662508215
남성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,10.025,37.1225,4.24524846,6.08138537125
여성,40~49,고등학교,300만원 ~ 400만원,11.675,38.1875,2.2817974165,3.4682466114999997
여성,50~59,4년제이상 대학,200만원 ~ 300만원,11.950000000000001,36.88,2.24294996675,3.311370594
남성,40~49,4년제이상 대학,소득없음,13.975,44.9325,2.1875877402499997,3.242783653
남성,60이상,"2,3년제 전문대학",소득없음,10.6,43.75,4.56215042075,6.4448116305
여성,50~59,고등학교,300만원 ~ 400만원,10.625,37.245000000000005,2.55995836775,3.82634201225
여성,50~59,고등학교,400만원 ~ 500만원,9.375,37.74,4.02880335275,5.7579367855
남성,60이상,고등학교,200만원 ~ 300만원,9.125,37.4125,4.052045784,5.8026406242499995
여성,50~59,"2,3년제 전문대학",200만원 ~ 300만원,10.675,37.49,2.823303901,4.161431643
남성,40~49,고등학교,200만원 ~ 300만원,11.225,39.205,2.25783703775,3.45067369575
여성,30~39,4년제이상 대학,400만원 ~ 500만원,14.25,37.97,3.17563126125,4.441500711
남성,40~49,고등학교,100만원 미만,10.674999999999999,40.33,7.19483703775,10.710945710250002
여성,20~29,고등학교,200만원 ~ 300만원,12.825000000000001,41.887499999999996,2.1561519799999997,3.09729775975
남성,30~39,4년제이상 대학,400만원 ~ 500만원,14.649999999999999,38.4525,3.08152802525,4.3675829114999996
남성,50~59,4년제이상 대학,100만원 ~ 200만원,11.549999999999999,42.2675,4.4116800632499995,7.0822560590000005
남성,30~39,"2,3년제 전문대학",200만원 ~ 300만원,13.775,39.102500000000006,2.2631798317499996,3.342394071
남성,50~59,4년제이상 대학,소득없음,12.924999999999999,43.989999999999995,2.4657486915,3.60087905375
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
여성,30~39,중졸이하,100만원 ~ 200만원,11.65,48.67,11.97596533175,19.68953483625
여성,16~19,4년제이상 대학,300만원 ~ 400만원,14.825,40.7325,3.5318696095,4.926638943
남성,60이상,4년제이상 대학,300만원 ~ 400만원,12.149999999999999,35.977500000000006,3.5947516685000003,5.1749794385
남성,30~39,"2,3년제 전문대학",100만원 미만,13.225,40.227500000000006,7.20017983175,10.602666085500001
여성,60이상,4년제이상 대학,200만원 ~ 300만원,10.9,36.03,3.75899776175,5.30524212175
남성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,12.975,38.38,2.3808968565,3.673073559
남성,16~19,4년제이상 대학,200만원 ~ 300만원,14.375000000000002,41.75,3.50790923075,4.90906602725
여성,50~59,고등학교,300만원 ~ 400만원,10.625,37.245000000000005,2.55995836775,3.82634201225
여성,40~49,4년제이상 대학,200만원 ~ 300만원,13.0,37.8225,1.9647890154999998,2.9532751932499997
남성,30~39,4년제이상 대학,300만원 ~ 400만원,15.899999999999999,37.957499999999996,1.6126830402499999,2.43598813825
남성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,12.125,38.915000000000006,2.45103971375,3.72941844275
여성,60이상,고등학교,100만원 ~ 200만원,7.925000000000001,41.835,6.4089823525,9.72136168825
여성,30~39,4년제이상 대학,200만원 ~ 300만원,14.65,38.01,1.7769291335,2.5662508215
여성,50~59,4년제이상 대학,100만원 ~ 200만원,11.15,41.785000000000004,4.50578329925,7.156173858500001
남성,16~19,고등학교,100만원 ~ 200만원,11.4,47.555,6.1578938215,9.32518559375
여성,40~49,4년제이상 대학,소득없음,13.575,44.449999999999996,2.28169097625,3.3167014525
남성,40~49,4년제이상 대학,400만원 ~ 500만원,13.0,38.265,3.2693879072499996,4.7546072832499995
남성,30~39,"2,3년제 전문대학",소득없음,14.35,45.730000000000004,2.5800817924999997,3.7058203302500003
여성,20~29,고등학교,200만원 ~ 300만원,12.825000000000001,41.887499999999996,2.1561519799999997,3.09729775975
남성,40~49,4년제이상 대학,200만원 ~ 300만원,13.4,38.305,1.8706857794999998,2.87935739375
남성,20~29,4년제이상 대학,500만원 ~ 600만원,15.0,44.6225,5.42737367575,7.57412882775
여성,40~49,4년제이상 대학,400만원 ~ 500만원,12.6,37.7825,3.36349114325,4.82852508275
남성,50~59,4년제이상 대학,300만원 ~ 400만원,13.2,36.8275,2.0787038735,3.1811079107499998
여성,30~39,고등학교,100만원 ~ 200만원,11.674999999999999,43.815,4.426913724249999,6.982370388
여성,50~59,고등학교,소득없음,10.35,44.4075,2.94700318575,4.246113155250001
남성,50~59,"2,3년제 전문대학",300만원 ~ 400만원,11.925,37.4375,2.65905780775,4.0311689597500004
남성,30~39,고등학교,500만원 ~ 600만원,12.475,42.545,5.8224533457500005,8.1857144935
남성,30~39,고등학교,400만원 ~ 500만원,12.475,39.3525,3.4686792835,4.9388992135
남성,50~59,고등학교,소득없음,10.75,44.89,2.8528999497500003,4.1721953557500004
여성,40~49,"2,3년제 전문대학",100만원 미만,11.174999999999999,39.557500000000005,7.48214294975,11.063608256750001
여성,30~39,"2,3년제 전문대학",100만원 ~ 200만원,12.575,43.525,4.62011640025,7.261115135000001
남성,50~59,4년제이상 대학,400만원 ~ 500만원,11.95,37.3225,3.5475488585,5.112702684
남성,50~59,"2,3년제 전문대학",500만원 ~ 600만원,10.675,41.125,6.481676855,9.209579012999999
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,16~19,고등학교,소득없음,12.775,49.277499999999996,4.21196244975,5.8438085885
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,40~49,4년제이상 대학,소득없음,13.975,44.9325,2.1875877402499997,3.242783653
남성,40~49,고등학교,600만원 ~ 700만원,10.45,38.1775,17.46150370525,22.186726960250002
여성,60이상,고등학교,400만원 ~ 500만원,8.325,36.89,5.54485114775,7.75180831325
남성,50~59,고등학교,200만원 ~ 300만원,10.175,38.2625,2.535997989,3.8087690965
여성,30~39,고등학교,소득없음,13.049999999999999,45.5375,2.4809823525,3.50099338275
남성,60이상,고등학교,400만원 ~ 500만원,8.725,37.3725,5.45074791175,7.6778905137499995
여성,60이상,4년제이상 대학,400만원 ~ 500만원,10.5,35.99,5.1576998895,7.18049201125
남성,40~49,고등학교,300만원 ~ 400만원,12.075,38.67,2.1876941805,3.394328812
남성,40~49,"2,3년제 전문대학",소득없음,12.7,45.542500000000004,2.7679416745000003,4.092844702000001
남성,50~59,고등학교,100만원 ~ 200만원,9.375,43.1675,4.7988313215,7.653572361
남성,50~59,고등학교,400만원 ~ 500만원,9.775,38.2225,3.93470011675,5.684018986
남성,50~59,고등학교,300만원 ~ 400만원,11.025,37.7275,2.46585513175,3.75242421275
여성,40~49,고등학교,200만원 ~ 300만원,10.825,38.7225,2.35194027375,3.5245914952499997
남성,30~39,고등학교,700만원 이상,13.425,43.542500000000004,34.84031048075,68.9288692635
남성,50~59,4년제이상 대학,300만원 ~ 400만원,13.2,36.8275,2.0787038735,3.1811079107499998
여성,20~29,4년제이상 대학,200만원 ~ 300만원,15.0,40.9875,1.76900072175,2.52598145775
여성,30~39,4년제이상 대학,200만원 ~ 300만원,14.65,38.01,1.7769291335,2.5662508215
여성,40~49,고등학교,소득없음,11.4,45.35,2.6688422345,3.8880177545
남성,30~39,4년제이상 대학,200만원 ~ 300만원,15.049999999999999,38.4925,1.6828258975,2.492333022
남성,60이상,고등학교,200만원 ~ 300만원,9.125,37.4125,4.052045784,5.8026406242499995
남성,30~39,4년제이상 대학,300만원 ~ 400만원,15.899999999999999,37.957499999999996,1.6126830402499999,2.43598813825
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,50~59,고등학교,200만원 ~ 300만원,10.175,38.2625,2.535997989,3.8087690965
남성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,10.025,37.1225,4.24524846,6.08138537125
여성,60이상,고등학교,100만원 ~ 200만원,7.925000000000001,41.835,6.4089823525,9.72136168825
여성,50~59,4년제이상 대학,200만원 ~ 300만원,11.950000000000001,36.88,2.24294996675,3.311370594
여성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,9.625,36.64,4.339351696,6.15530317075
남성,16~19,고등학교,소득없음,12.775,49.277499999999996,4.21196244975,5.8438085885
여성,40~49,4년제이상 대학,100만원 ~ 200만원,12.2,42.7275,4.227622348,6.79807845775
여성,16~19,고등학교,300만원 ~ 400만원,12.65,41.63249999999999,3.91902086775,5.497955245
여성,50~59,대학원 이상,소득없음,12.775,63.095,17.10552448825,20.780360935999997
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
여성,20~29,고등학교,100만원 ~ 200만원,12.025,46.7925,4.4189853125,6.94210102425
남성,60이상,고등학교,소득없음,9.7,44.04,4.36894774475,6.166066883499999
여성,30~39,고등학교,200만원 ~ 300만원,12.475,38.91,2.1640803917499998,3.1375671234999998
남성,20~29,4년제이상 대학,400만원 ~ 500만원,15.0,41.43,3.0735996135,4.32731354775
남성,30~39,4년제이상 대학,소득없음,15.624999999999998,45.12,1.99972785825,2.85575928125
남성,40~49,고등학교,300만원 ~ 400만원,12.075,38.67,2.1876941805,3.394328812
남성,50~59,4년제이상 대학,200만원 ~ 300만원,12.35,37.3625,2.14884673075,3.2374527945
남성,40~49,중졸이하,600만원 ~ 700만원,10.424999999999999,43.0325,25.01055531275,34.893891408500004
여성,20~29,고등학교,100만원 ~ 200만원,12.025,46.7925,4.4189853125,6.94210102425
여성,20~29,4년제이상 대학,100만원 ~ 200만원,14.2,45.8925,4.03183405425,6.370784722250001
남성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,14.125,42.080000000000005,2.25525142,3.30212470725
남성,50~59,중졸이하,300만원 ~ 400만원,11.0,42.582499999999996,10.014906739249998,16.459588660999998
여성,50~59,"2,3년제 전문대학",소득없음,11.25,44.1175,3.14020586175,4.52485790225
남성,20~29,4년제이상 대학,100만원 ~ 200만원,14.6,46.375,3.93773081825,6.2968669227500005
여성,30~39,4년제이상 대학,200만원 ~ 300만원,14.65,38.01,1.7769291335,2.5662508215
여성,50~59,대학원 이상,300만원 ~ 400만원,13.05,55.932500000000005,16.71847967025,20.360589793
남성,30~39,고등학교,200만원 ~ 300만원,12.875,39.3925,2.06997715575,3.063649324
여성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,9.625,36.64,4.339351696,6.15530317075
여성,40~49,4년제이상 대학,300만원 ~ 400만원,13.85,37.287499999999994,1.8946461582499998,2.8969303094999996
여성,30~39,고등학교,200만원 ~ 300만원,12.475,38.91,2.1640803917499998,3.1375671234999998
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,20~29,고등학교,200만원 ~ 300만원,13.225,42.37,2.062048744,3.0233799602499998
여성,40~49,대학원 이상,100만원 ~ 200만원,12.45,62.315000000000005,18.77329490875,23.9036425405
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
남성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,14.625,38.5675,2.1930369745,3.28604918725
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,14.225,38.085,2.2871402105,3.35996698675
여성,60이상,고등학교,200만원 ~ 300만원,8.725,36.93,4.14614902,5.87655842375
여성,50~59,4년제이상 대학,400만원 ~ 500만원,11.55,36.84,3.6416520945,5.1866204835000005
남성,50~59,고등학교,200만원 ~ 300만원,10.175,38.2625,2.535997989,3.8087690965
여성,50~59,고등학교,200만원 ~ 300만원,9.775,37.78,2.6301012249999998,3.882686896
남성,20~29,4년제이상 대학,700만원 이상,15.95,45.62,34.44523081075,68.31728359775
남성,50~59,4년제이상 대학,300만원 ~ 400만원,13.2,36.8275,2.0787038735,3.1811079107499998
남성,50~59,고등학교,200만원 ~ 300만원,10.175,38.2625,2.535997989,3.8087690965
여성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,11.725,38.432500000000005,2.5451429497499998,3.80333624225
남성,60이상,"2,3년제 전문대학",100만원 ~ 200만원,9.225,42.0275,6.5080817925,9.92618863575
남성,30~39,"2,3년제 전문대학",100만원 ~ 200만원,12.975,44.0075,4.526013164249999,7.1871973355000005
여성,20~29,4년제이상 대학,300만원 ~ 400만원,15.85,40.4525,1.6988578644999999,2.469636574
남성,20~29,고등학교,200만원 ~ 300만원,13.225,42.37,2.062048744,3.0233799602499998
남성,60이상,"2,3년제 전문대학",300만원 ~ 400만원,10.875,36.587500000000006,4.1751056027499995,6.0250404875
남성,20~29,4년제이상 대학,400만원 ~ 500만원,15.0,41.43,3.0735996135,4.32731354775
여성,30~39,고등학교,200만원 ~ 300만원,12.475,38.91,2.1640803917499998,3.1375671234999998
여성,30~39,4년제이상 대학,300만원 ~ 400만원,15.5,37.474999999999994,1.70678627625,2.50990593775
남성,60이상,4년제이상 대학,300만원 ~ 400만원,12.149999999999999,35.977500000000006,3.5947516685000003,5.1749794385
남성,16~19,"2,3년제 전문대학",300만원 ~ 400만원,13.950000000000001,41.825,4.018120307749999,5.702782192500001
남성,50~59,고등학교,100만원 ~ 200만원,9.375,43.1675,4.7988313215,7.653572361
여성,60이상,4년제이상 대학,300만원 ~ 400만원,11.75,35.495000000000005,3.6888549045000003,5.2488972380000005
남성,40~49,고등학교,소득없음,11.799999999999999,45.8325,2.5747389985,3.814099955
남성,60이상,"2,3년제 전문대학",300만원 ~ 400만원,10.875,36.587500000000006,4.1751056027499995,6.0250404875
여성,30~39,4년제이상 대학,소득없음,15.225,44.637499999999996,2.09383109425,2.9296770807500003
여성,20~29,고등학교,소득없음,13.4,48.51499999999999,2.47305394075,3.460724019
남성,60이상,4년제이상 대학,100만원 ~ 200만원,10.499999999999998,41.417500000000004,5.92772785825,9.076127586750001
여성,50~59,4년제이상 대학,100만원 미만,11.4,38.005,7.17994996675,10.571642608500001
여성,20~29,4년제이상 대학,200만원 ~ 300만원,15.0,40.9875,1.76900072175,2.52598145775
여성,40~49,고등학교,200만원 ~ 300만원,10.825,38.7225,2.35194027375,3.5245914952499997
여성,20~29,고등학교,100만원 ~ 200만원,12.025,46.7925,4.4189853125,6.94210102425
여성,40~49,고등학교,400만원 ~ 500만원,10.425,38.6825,3.7506424015,5.399841384749999
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,14.975,41.545,2.18510856275,3.2457798235
남성,60이상,4년제이상 대학,200만원 ~ 300만원,11.299999999999999,36.5125,3.6648945257500003,5.23132432225
여성,16~19,고등학교,100만원 ~ 200만원,11.0,47.0725,6.2519970575,9.39910339325
남성,40~49,고등학교,소득없음,11.799999999999999,45.8325,2.5747389985,3.814099955
남성,40~49,4년제이상 대학,200만원 ~ 300만원,13.4,38.305,1.8706857794999998,2.87935739375
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
여성,16~19,고등학교,100만원 ~ 200만원,11.0,47.0725,6.2519970575,9.39910339325
남성,60이상,4년제이상 대학,300만원 ~ 400만원,12.149999999999999,35.977500000000006,3.5947516685000003,5.1749794385
남성,40~49,고등학교,소득없음,11.799999999999999,45.8325,2.5747389985,3.814099955
여성,40~49,고등학교,300만원 ~ 400만원,11.675,38.1875,2.2817974165,3.4682466114999997
남성,60이상,고등학교,300만원 ~ 400만원,9.975,36.8775,3.98190292675,5.7462957405
남성,30~39,4년제이상 대학,100만원 ~ 200만원,14.249999999999998,43.3975,3.9456592299999995,6.3371362865
여성,40~49,중졸이하,300만원 ~ 400만원,11.65,43.042500000000004,9.830849023999999,16.17541105975
남성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,14.125,42.080000000000005,2.25525142,3.30212470725
여성,50~59,4년제이상 대학,300만원 ~ 400만원,12.8,36.345,2.1728071095,3.25502571025
남성,16~19,4년제이상 대학,300만원 ~ 400만원,15.225000000000001,41.215,3.4377663735,4.8527211435
남성,20~29,4년제이상 대학,400만원 ~ 500만원,15.0,41.43,3.0735996135,4.32731354775
남성,50~59,"2,3년제 전문대학",500만원 ~ 600만원,10.675,41.125,6.481676855,9.209579012999999
여성,40~49,"2,3년제 전문대학",소득없음,12.299999999999999,45.06,2.8620449105,4.1667625015
여성,50~59,고등학교,600만원 ~ 700만원,9.0,36.7525,17.8337678925,22.618740160500003
남성,50~59,4년제이상 대학,400만원 ~ 500만원,11.95,37.3225,3.5475488585,5.112702684
여성,60이상,고등학교,200만원 ~ 300만원,8.725,36.93,4.14614902,5.87655842375
남성,20~29,고등학교,300만원 ~ 400만원,14.075,41.834999999999994,1.99190588675,2.9670350764999998
남성,16~19,4년제이상 대학,300만원 ~ 400만원,15.225000000000001,41.215,3.4377663735,4.8527211435
여성,16~19,고등학교,200만원 ~ 300만원,11.8,42.1675,3.989163725,5.55430012875
여성,60이상,4년제이상 대학,200만원 ~ 300만원,10.9,36.03,3.75899776175,5.30524212175
여성,30~39,4년제이상 대학,600만원 ~ 700만원,13.875,36.9825,16.980595801,21.302304086000003
남성,60이상,4년제이상 대학,200만원 ~ 300만원,11.299999999999999,36.5125,3.6648945257500003,5.23132432225
여성,20~29,4년제이상 대학,소득없음,15.575,47.614999999999995,2.0859026825,2.889407717
남성,40~49,"2,3년제 전문대학",소득없음,12.7,45.542500000000004,2.7679416745000003,4.092844702000001
남성,40~49,고등학교,소득없음,11.799999999999999,45.8325,2.5747389985,3.814099955
남성,30~39,"2,3년제 전문대학",400만원 ~ 500만원,13.375,39.0625,3.6618819594999996,5.2176439605
여성,16~19,4년제이상 대학,200만원 ~ 300만원,13.975,41.2675,3.6020124667499998,4.98298382675
남성,40~49,고등학교,100만원 ~ 200만원,10.424999999999999,44.11,4.5206703702499995,7.29547696025
남성,20~29,고등학교,300만원 ~ 400만원,14.075,41.834999999999994,1.99190588675,2.9670350764999998
남성,50~59,고등학교,300만원 ~ 400만원,11.025,37.7275,2.46585513175,3.75242421275
여성,50~59,4년제이상 대학,300만원 ~ 400만원,12.8,36.345,2.1728071095,3.25502571025
남성,50~59,4년제이상 대학,200만원 ~ 300만원,12.35,37.3625,2.14884673075,3.2374527945
여성,30~39,고등학교,소득없음,13.049999999999999,45.5375,2.4809823525,3.50099338275
여성,60이상,"2,3년제 전문대학",400만원 ~ 500만원,9.225,36.6,5.73805382375,8.03055306025
남성,40~49,고등학교,500만원 ~ 600만원,10.825,42.3575,6.01031322775,8.572738865249999
남성,50~59,고등학교,소득없음,10.75,44.89,2.8528999497500003,4.1721953557500004
남성,20~29,고등학교,100만원 ~ 200만원,12.424999999999999,47.275,4.3248820765,6.86818322475
남성,40~49,고등학교,300만원 ~ 400만원,12.075,38.67,2.1876941805,3.394328812
여성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,12.575,37.8975,2.4750000925,3.7469913585
남성,16~19,고등학교,300만원 ~ 400만원,13.05,42.114999999999995,3.82491763175,5.424037445500001
여성,60이상,고등학교,700만원 이상,9.275,41.08,36.916482345,71.74177836325
여성,30~39,"2,3년제 전문대학",300만원 ~ 400만원,14.225,38.085,2.2871402105,3.35996698675
여성,50~59,중졸이하,200만원 ~ 300만원,9.75,42.635,10.1791528325,16.58985134425
